code,label,sources,files
Gyu6G00,Cereb infarct due unspec occlus/stenos precerebr arteries,DialogAdd|PatientData,~V0.htm|~V40017.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40627.htm
Gyu7,,PatientData,~V40039.htm|~V40636.htm
Gyu74,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
H00,,PatientData,~V4003a.htm|~V4063b.htm
H00..16,Acute Rhinitis,DialogAdd,~V4003a.htm|~V4063b.htm
H3...00,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H3...11,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H31..00,Chronic bronchitis,DialogAdd|PatientData,~V0.htm|~V40015.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H310.00,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H310000,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H310z00,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H311,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H312.00,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H312000,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4003a.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm|~V4063b.htm
H312100,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H3123,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H312z00,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H313,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H31y.00,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H31y100,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H31yz,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H31z,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H32,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H32..00,Emphysema,DialogAdd|PatientData,~V40015.htm
H33,,PatientData,~V0.htm|~V40017.htm|~V4001a.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4003a.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V4063b.htm
H33..00,Asthma,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V4001a.htm|~V4003a.htm|~V4063b.htm
H330.00,Extrinsic (atopic) asthma,DialogAdd,~V40017.htm|~V4001a.htm
H330000,Extrinsic asthma - no status,DialogAdd,~V40017.htm|~V4001a.htm
H330100,Extrinsic asthma + status,DialogAdd,~V40017.htm|~V4001a.htm
H330z00,Extrinsic asthma NOS,DialogAdd,~V40017.htm|~V4001a.htm
H331.00,Intrinsic asthma,DialogAdd,~V40017.htm|~V4001a.htm
H331000,Intrinsic asthma - no status,DialogAdd,~V40017.htm|~V4001a.htm
H331100,Intrinsic asthma + status,DialogAdd,~V40017.htm|~V4001a.htm
H331z00,Intrinsic asthma NOS,DialogAdd,~V40017.htm|~V4001a.htm
H332.00,Mixed asthma,DialogAdd,~V40017.htm|~V4001a.htm
H333.00,,PatientData,~V4003a.htm|~V4063b.htm
H334.00,Brittle asthma,DialogAdd,~V40017.htm|~V4001a.htm
H33z.00,Asthma unspecified,DialogAdd,~V40017.htm|~V4001a.htm
H33z000,Status asthmaticus NOS,DialogAdd,~V40017.htm|~V4001a.htm
H33z100,Asthma attack,DialogAdd,~V40017.htm
H33z200,Late-onset asthma,DialogAdd,~V40017.htm|~V4001a.htm
H33zz00,Asthma NOS,DialogAdd,~V40017.htm|~V4001a.htm
H36,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H37,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H38,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H39,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H3A,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H3A..00,,PatientData,~V40039.htm|~V40636.htm
H3B,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4003a.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm|~V4063b.htm
H3y..00,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H3z,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H3z..00,Chronic obstructive airways disease NOS,DialogAdd|PatientData,~V40015.htm
H464000,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H464100,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
H583200,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
Hyu3000,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
Hyu3100,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40636.htm
J101100,Reflux Oesophagitis,DialogAdd,~V40016.htm
J10y400,Oesophagus reflux no Oesophagitis,DialogAdd,~V40016.htm
J130,,PatientData,~V40017.htm
J130.00,Acute Peptic Ulcer,DialogAdd|PatientData,~V40015.htm|~V40017.htm
J16y400,Dyspepsia,DialogAdd|PatientData,~V40015.htm|~V40017.htm
J503100,Faecal impaction,DialogAdd,~V40016.htm
J520z00,Constipation NOS,DialogAdd,~V40016.htm
K032100,,PatientData,~V4003e.htm|~V40638.htm
K043000,Acute renal failure due to ACE inhibitor,DialogAdd|PatientData,~V40038.htm|~V4003c.htm|~V4003e.htm|~V4003f.htm|~V40631.htm|~V40633.htm|~V40637.htm|~V40638.htm
K05,,PatientData,~V0.htm|~V4001b.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
K051,,PatientData,~V4001b.htm|~V40038.htm|~V40637.htm
K051.00,,PatientData,~V40033.htm|~V40612.htm
K052,,PatientData,~V4001b.htm|~V40038.htm|~V40637.htm
K052.00,,PatientData,~V40033.htm|~V40612.htm
K053,,PatientData,~V4001b.htm
K054,,PatientData,~V4001b.htm
K055,,PatientData,~V4001b.htm
K08yA00,Proteinuric diabetic nephropathy,DialogAdd|PatientData,~V4003f.htm|~V40633.htm
K0A2,,PatientData,~V4003b.htm|~V4003e.htm|~V40630.htm|~V40638.htm
K0A4,,PatientData,~V4003e.htm|~V40638.htm
K136,,PatientData,~V4003e.htm|~V40638.htm
K190X00,,PatientData,~V4003b.htm|~V4003e.htm|~V4003f.htm|~V40630.htm|~V40633.htm|~V40638.htm
K197,,PatientData,~V4003b.htm|~V4003e.htm|~V40630.htm|~V40638.htm
K197.00,Haematuria,DialogAdd,~V4003e.htm|~V40638.htm
Kyu0D00,,PatientData,~V4003e.htm|~V40638.htm
Kyu0E00,,PatientData,~V4003e.htm|~V40638.htm
Kyu5G00,,PatientData,~V4003b.htm|~V4003e.htm|~V4003f.htm|~V40630.htm|~V40633.htm|~V40638.htm
L180900,,PatientData,~V40018.htm
M124100,Plaster Allergy,DialogAdd,~V40024.htm
N097,,PatientData,~V40017.htm
N097.00,Click to record new/worsening walking problem,DialogAdd,~V40017.htm
N238.00,Muscle contracture,DialogAdd,~V40016.htm
N241100,Myositis Unspecified,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V40018.htm
N2457,,PatientData,~V40017.htm
N245700,Shoulder pain,DialogAdd,~V40017.htm
N330z00,Osteoporosis NOS,DialogAdd,~V40016.htm
P769.00,,PatientData,~V4001a.htm
P769000,Renal Artery Stenosis,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V40018.htm|~V4001a.htm
PF55000,Acrocephalosyndactyly,DialogAdd,~V40016.htm
PJ0..00,Down's syndrome - Trisomy 21,DialogAdd,~V40016.htm
PJ00.00,"Trisomy 21, Meiotic Nondisjunct",DialogAdd,~V40016.htm
PJ01.00,Mosaicism,DialogAdd,~V40016.htm
PJ02.00,"Trisomy 21, Translocation",DialogAdd,~V40016.htm
PJ0z.00,Downs syndrome NOS,DialogAdd,~V40016.htm
PJ1z.00,Patau's syndrome NOS,DialogAdd,~V40016.htm
PJ2z.00,Edwards syndrome NOS,DialogAdd,~V40016.htm
PJ31.00,Cri-Du-Chat syndrome,DialogAdd,~V40016.htm
PJ33300,Smith-Magenis syndrome,DialogAdd,~V40016.htm
PJ3y000,Sphrintzen syndrome,DialogAdd,~V40016.htm
PJ63z00,Turners syndrome NOS,DialogAdd,~V40016.htm
PJ7z.00,Klinefelters syndrome NOS,DialogAdd,~V40016.htm
PJX..00,"Sex Chromosome Abnormality, male phenotype, unspecified",DialogAdd,~V40016.htm
PJyy400,Fragile X syndrome,DialogAdd,~V40016.htm
PJyyz00,Other sex chromosome abnormality NOS,DialogAdd,~V40016.htm
PJz..00,Chromosomal anomalies NOS,DialogAdd,~V40016.htm
PK5..00,Tuberous Sclerosis,DialogAdd,~V40016.htm
PK61.00,Sturge-Weber syndrome,DialogAdd,~V40016.htm
PK80.00,Fetal Alcohol syndrome,DialogAdd,~V40016.htm
PKy4.00,William syndrome,DialogAdd,~V40016.htm
PKy5C00,Treacher Collins syndrome,DialogAdd,~V40016.htm
PKy6000,Amsterdam dwarf,DialogAdd,~V40016.htm
PKy6300,Smith - Lemli - Opitz syndrome,DialogAdd,~V40016.htm
PKy6400,Seckel syndrome,DialogAdd,~V40016.htm
PKy6500,Aarskog syndrome,DialogAdd,~V40016.htm
PKy8000,Noonans syndrome,DialogAdd,~V40016.htm
PKy9400,Zellwegers syndrome,DialogAdd,~V40016.htm
PKyP,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4003f.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40633.htm
PKyz500,Happy puppet syndrome,DialogAdd,~V40016.htm
Q01..00,Fetus+Maternal pregnancy complication,DialogAdd,~V40016.htm
Q03z.00,Fetus+Complicated labour/delivery NOS,DialogAdd,~V40016.htm
Q112.00,Extreme immaturity,DialogAdd,~V40016.htm
Q116.00,Extremely low birth weight infant,DialogAdd,~V40016.htm
Q20z.00,Birth injury NOS,DialogAdd,~V40016.htm
Q400.00,Congenital Rubella,DialogAdd,~V40016.htm
Q401.00,Congenital Cytomegalovirus infection,DialogAdd,~V40016.htm
Q402300,Congenital Toxoplasmosis,DialogAdd,~V40016.htm
Q411.00,Perinatal Intraventric Haemorhage,DialogAdd,~V40016.htm
Q42..00,Haemolytic disease of new born,DialogAdd,~V40016.htm
R023400,Swelling,DialogAdd,~V4001b.htm
R032.00,[D]Abnormal loss of weight,DialogAdd|PatientData,~V40017.htm|~V4001a.htm
R035.00,[D]Polydipsia,DialogAdd|PatientData,~V40018.htm
R072.00,Dysphagia,DialogAdd,~V40016.htm
R072000,Difficulty in swallowing,DialogAdd|PatientData,~V40016.htm|~V40017.htm
R110,,PatientData,~V40018.htm|~V4003b.htm|~V4003e.htm|~V4003f.htm|~V40630.htm|~V40633.htm|~V40638.htm
R110.00,Proteinuria,DialogAdd|PatientData,~V40018.htm|~V40038.htm|~V4003f.htm|~V40633.htm|~V40637.htm
R110000,Albuminuria,DialogAdd|PatientData,~V40018.htm|~V40038.htm|~V4003f.htm|~V40633.htm|~V40637.htm
R110300,Microalbuminuria,DialogAdd|PatientData,~V40018.htm|~V40038.htm|~V4003f.htm|~V40633.htm|~V40637.htm
R110z00,Proteinuria NOS,DialogAdd|PatientData,~V40038.htm|~V4003f.htm|~V40633.htm|~V40637.htm
R132000,,PatientData,~V4003c.htm|~V40631.htm
R132200,,PatientData,~V4003c.htm|~V40631.htm
R148.00,[D]Abnormal Liver Function Test,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V40018.htm
R1y2,,PatientData,~V40018.htm
SN58000,Egg Allergy,DialogAdd|PatientData,~V40024.htm|~V40540.htm
SP25800,,PatientData,~V40025.htm
TJ0..00,Antibiotics,DialogAdd,~V40024.htm
TJ00.00,Penicillin,DialogAdd,~V40024.htm
TJ00200,Flucloxacillin,DialogAdd,~V40024.htm
TJ00300,Amoxicillin,DialogAdd,~V40024.htm
TJ00400,Ampicillin,DialogAdd,~V40024.htm
TJ03.00,Erythromycin,DialogAdd,~V40024.htm
TJ05.00,Cephalosporins,DialogAdd,~V40024.htm
TJ0yC00,Trimethoprim,DialogAdd,~V40024.htm
TJ0yD00,Cotrimoxazole,DialogAdd,~V40024.htm
TJ10300,Sulphamethoxazole,DialogAdd,~V40024.htm
TJ1z000,Ciprofloxacin,DialogAdd,~V40024.htm
TJ20100,,PatientData,~V4003e.htm|~V40638.htm
TJ28100,Iodine Allergy,DialogAdd,~V40024.htm
TJ30300,Metoclopramide,DialogAdd,~V40024.htm
TJ42,,PatientData,~V4003e.htm|~V40638.htm
TJ42.00,Adverse Reaction to Anticoagulants,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V4001a.htm|~V4003d.htm|~V4003e.htm|~V40627.htm|~V40638.htm
TJ42000,Heparin,DialogAdd,~V40024.htm
TJ42100,Adverse reaction to Warfarin Sodium.,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V4001a.htm|~V40024.htm|~V4003d.htm|~V4003e.htm|~V40627.htm|~V40638.htm
TJ42200,Adverse reaction to Nicoumalone,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V4001a.htm|~V4003d.htm|~V4003e.htm|~V40627.htm|~V40638.htm
TJ42300,Adverse reaction to Phenindione,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V4001a.htm|~V4003d.htm|~V4003e.htm|~V40627.htm|~V40638.htm
TJ42z00,Adverse reaction to anticoagulants NOS,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V4001a.htm|~V4003d.htm|~V4003e.htm|~V40627.htm|~V40638.htm
TJ52000,Morphine,DialogAdd,~V40024.htm
TJ52200,Codeine,DialogAdd,~V40024.htm
TJ52400,Dihydrocodeine,DialogAdd,~V40024.htm
TJ53,,PatientData,~V4003d.htm|~V4003e.htm|~V40627.htm|~V40638.htm
TJ53.00,Adverse Reaction to Salicylates,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V40024.htm
TJ53.11,Adverse reaction to Aspirin,DialogAdd,~V4003b.htm|~V4003d.htm|~V4003e.htm|~V40627.htm|~V40630.htm|~V40638.htm
TJ54000,Paracetamol,DialogAdd,~V40024.htm
TJ56.00,Antirheumatics,DialogAdd,~V40024.htm
TJ56000,Ibuprofen,DialogAdd,~V40024.htm
TJ56200,Fenbrufen,DialogAdd,~V40024.htm
TJ56500,Indometacin,DialogAdd,~V40024.htm
TJ56700,Naproxen,DialogAdd,~V40024.htm
TJ56800,Piroxicam,DialogAdd,~V40024.htm
TJ5y100,Mefenamic acid,DialogAdd,~V40024.htm
TJ61.00,Adverse reaction to hydrantoin derivatives,DialogAdd,~V4001a.htm
TJ63200,Carbamazepine,DialogAdd,~V40024.htm
TJ83z00,IV anaesthetics,DialogAdd,~V40024.htm
TJ85100,Lignocaine,DialogAdd,~V40024.htm
TJC0000,Adverse reaction to practolol,DialogAdd|PatientData,~V4003c.htm|~V4003e.htm|~V40631.htm|~V40638.htm
TJC0200,Adverse reaction to propranolol,DialogAdd|PatientData,~V4003c.htm|~V4003e.htm|~V40631.htm|~V40638.htm
TJC2400,Adverse reaction to simvastatin,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V40018.htm|~V40024.htm|~V40033.htm|~V4003d.htm|~V4003e.htm|~V4003f.htm|~V40612.htm|~V40627.htm|~V40633.htm|~V40638.htm
TJC2500,Adverse reaction to pravastatin,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V40018.htm|~V40024.htm|~V40033.htm|~V4003d.htm|~V4003e.htm|~V4003f.htm|~V40612.htm|~V40627.htm|~V40633.htm|~V40638.htm
TJC4400,Adverse reaction to dipyridamole,DialogAdd|PatientData,~V40017.htm|~V40024.htm|~V4003d.htm|~V40627.htm
TJC6,,PatientData,~V40015.htm|~V4003c.htm|~V4003e.htm|~V40631.htm|~V40638.htm
TJC6.00,Adverse Reaction to Beta Blockers,DialogAdd|PatientData,~V40015.htm|~V4001a.htm|~V40024.htm|~V4003c.htm|~V4003e.htm|~V40631.htm|~V40638.htm
TJC6100,Adverse Reaction to Acebutolol,DialogAdd|PatientData,~V40015.htm|~V4001a.htm
TJC6200,Adverse Reaction to Atenolol,DialogAdd|PatientData,~V40015.htm|~V4001a.htm
TJC6300,Adverse Reaction to Labetalol,DialogAdd|PatientData,~V40015.htm|~V4001a.htm
TJC6400,Adverse Reaction to Metoprolol,DialogAdd|PatientData,~V40015.htm|~V4001a.htm
TJC6500,Adverse Reaction to Nadolol,DialogAdd|PatientData,~V40015.htm|~V4001a.htm
TJC6600,Adverse Reaction to Oxprenolol,DialogAdd|PatientData,~V40015.htm|~V4001a.htm
TJC6700,Adverse Reaction to Sotalol,DialogAdd|PatientData,~V40015.htm|~V4001a.htm
TJC6800,Adverse Reaction to Timolol,DialogAdd|PatientData,~V40015.htm|~V4001a.htm
TJC6z00,Adverse Reaction to Beta Blockers NOS,DialogAdd|PatientData,~V40015.htm|~V4001a.htm
TJC7700,Adverse reaction to captopril,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V40018.htm|~V4001a.htm|~V40038.htm|~V4003c.htm|~V4003e.htm|~V4003f.htm|~V40631.htm|~V40633.htm|~V40637.htm|~V40638.htm
TJC7800,Adverse reaction to enalapril,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V40018.htm|~V4001a.htm|~V40024.htm|~V40038.htm|~V4003c.htm|~V4003e.htm|~V4003f.htm|~V40631.htm|~V40633.htm|~V40637.htm|~V40638.htm
TJC7900,Adverse reaction to ramipril,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V40018.htm|~V4001a.htm|~V40038.htm|~V4003c.htm|~V4003e.htm|~V4003f.htm|~V40631.htm|~V40633.htm|~V40637.htm|~V40638.htm
TJF7100,Ipratropium,DialogAdd,~V40024.htm
TJHyx00,Contract media,DialogAdd,~V40024.htm
TJJ4.00,Tetanus Vacc,DialogAdd,~V40024.htm
U604200,Anticoagulant causing adverse effects in therapeutic use,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V4001a.htm|~V4003d.htm|~V4003e.htm|~V40627.htm|~V40638.htm
U604800,[X] Clopidogrel causing adverse effects in therapeutic use,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V4003d.htm|~V4003e.htm|~V40627.htm|~V40638.htm
U605100,[X] Salicylates causing adverse effects in therapeutic use,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V4003d.htm|~V4003e.htm|~V40627.htm|~V40638.htm
U60B700,[X] Adverse reaction to betablockers,DialogAdd|PatientData,~V40015.htm|~V4001a.htm|~V4003c.htm|~V4003e.htm|~V40631.htm|~V40638.htm
U60B900,Adverse reaction to bisoprolol,DialogAdd|PatientData,~V4001a.htm|~V4003c.htm|~V4003e.htm|~V40631.htm|~V40638.htm
U60BA00,Adverse reaction to carvedilol,DialogAdd|PatientData,~V4001a.htm|~V4003c.htm|~V4003e.htm|~V40631.htm|~V40638.htm
U60BB00,Adverse reaction to nebivolol,DialogAdd|PatientData,~V4001a.htm|~V4003c.htm|~V4003e.htm|~V40631.htm|~V40638.htm
U60C100,CCB - Adverse effect,DialogAdd,~V4003b.htm|~V40630.htm
U60C300,,PatientData,~V4003d.htm|~V40627.htm
U60C400,[X] ACEi Causing Adverse Effect in Therapeutic Use,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V40018.htm|~V4001a.htm|~V40038.htm|~V4003b.htm|~V4003c.htm|~V4003e.htm|~V4003f.htm|~V40630.htm|~V40631.htm|~V40633.htm|~V40637.htm|~V40638.htm
U60CA00,[X]Statin causing adverse effect in therapeutic use,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V40018.htm|~V40033.htm|~V4003b.htm|~V4003d.htm|~V4003e.htm|~V4003f.htm|~V40612.htm|~V40627.htm|~V40630.htm|~V40633.htm|~V40638.htm
U60CB00,A II adverse effect in therapeutic use,DialogAdd|PatientData|PatientData2,~V40015.htm|~V40017.htm|~V40018.htm|~V4001a.htm|~V40038.htm|~V4003b.htm|~V4003c.htm|~V4003e.htm|~V4003f.htm|~V40630.htm|~V40631.htm|~V40633.htm|~V40637.htm|~V40638.htm
U60E312,Bendroflumethiazide - Adverse effect,DialogAdd,~V4003b.htm|~V40630.htm
U60J800,A/R Pneumo. Vacc,DialogAdd|PatientData,~V40025.htm
U60K400,[X]Influenza Vaccine causing adverse effects in therapeutic use,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V40018.htm|~V4001a.htm|~V40020.htm|~V40025.htm|~V40039.htm|~V4003d.htm|~V4003e.htm|~V4003f.htm|~V40540.htm|~V40627.htm|~V40633.htm|~V40636.htm|~V40638.htm
Z1K1300,Suture Removal,DialogAdd,NURSE2.htm
Z228,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
Z4F,,PatientData,~V4003d.htm|~V4003e.htm|~V40627.htm|~V40638.htm
Z4I7,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
Z4L1,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
Z774,,PatientData,~V4001b.htm
Z774.11,Goal Setting,DialogAdd,~V4001b.htm
Z792500,Motivation to stop,DialogAdd|PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
Z92,,PatientData,~V4001b.htm
Z92..00,Actions,DialogAdd,~V4001b.htm
ZA3..00,Cryotherapy to Wart,DialogAdd,~V40025.htm
ZC2,,PatientData,~V4003d.htm|~V4003e.htm|~V40627.htm|~V40638.htm
ZC2CN00,Diet advice for weight gain,DialogAdd,~V4003d.htm|~V40627.htm
ZC4,,PatientData,~V4003d.htm|~V4003e.htm|~V40627.htm|~V40638.htm
ZC5,,PatientData,~V4003d.htm|~V4003e.htm|~V40627.htm|~V40638.htm
ZG16.00,Exercise Advice,DialogAdd,~V40025.htm
ZGB6,,PatientData,~V40023.htm
ZL22E00,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
ZL23100,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
ZL62500,Refer Diabetes Nurse,DialogAdd,~V40025.htm
ZL62E00,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
ZL82.11,Refer Dietician,DialogAdd,~V40025.htm
ZL85.00,Refer Physiotherapist,DialogAdd,~V40025.htm
ZL91,,PatientData,~V4003a.htm|~V4063b.htm
ZLA2E00,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
ZLD7C00,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
ZLD8100,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
ZN27D00,Drives a Car,DialogAdd|PatientData,~V4003f.htm|~V40633.htm
ZN27I00,,PatientData,~V4003f.htm|~V40633.htm
ZN27I11,Rides a motorbike,DialogAdd,~V4003f.htm|~V40633.htm
ZQ02,,PatientData,~V40015.htm
ZQ04,,PatientData,~V40018.htm
ZV04800,,PatientData,~V40015.htm|~V40020.htm|~V40025.htm
ZV11000,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
ZV12D,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40627.htm
ZV12D00,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40627.htm
ZV14800,PH of aspirin allergy,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V4003d.htm|~V4003e.htm|~V40627.htm|~V40638.htm
ZV14A00,Personal history of warfarin allergy,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V4003d.htm|~V4003e.htm|~V40627.htm|~V40638.htm
ZV14B00,,PatientData,~V40015.htm|~V40017.htm|~V4003d.htm|~V4003e.htm|~V40627.htm|~V40638.htm
ZV14C00,,PatientData,~V40015.htm|~V4003c.htm|~V4003e.htm|~V40631.htm|~V40638.htm
ZV14D00,PH of ACE Inhibitor Allergy,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V4001a.htm|~V40038.htm|~V4003c.htm|~V4003e.htm|~V4003f.htm|~V40631.htm|~V40633.htm|~V40637.htm|~V40638.htm
