code,label,sources,files
G20z.00,Hypertension NOS,DialogAdd,~V40017.htm|~V40018.htm|~V4001a.htm
G21..00,Hypertensive heart disease,DialogAdd|PatientData,~V4001a.htm
G24,,PatientData,~V40018.htm|~V40033.htm|~V40612.htm
G24..00,Secondary hypertension,DialogAdd|PatientData,~V0.htm|~V40017.htm|~V40018.htm|~V4001a.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
G240.00,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
G240z,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
G240z00,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
G241.00,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
G241z00,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
G244.00,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
G24z.00,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
G24z0,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
G24z000,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
G24zz,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
G24zz00,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
G25,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
G250,,PatientData,~V4003b.htm|~V40630.htm
G250.00,Stage 1 hyperten (NICE 2011) without evidnce end organ damge,DialogAdd,~V4003b.htm|~V40630.htm
G26,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
